accuracy,model,call,features,train data,test data,time,
0.8895394998,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",0 1 10 11 12 13 14 18 20 21 24 25 27 29 3 4 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-07 12:11:53,
,,,,,,,
0.8847757046,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=1)",0 1 10 11 12 13 14 18 20 21 24 25 27 29 3 30 4 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-07 12:22:53,
0.8825922985,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=1)",0 1 10 11 12 13 14 18 20 21 24 25 27 29 3 31 32 33 34 4 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-07 12:47:53,
0.8841802303,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=1)",0 1 10 11 12 13 14 18 20 21 24 25 27 29 3 30 31 4 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-07 13:10:15,
0.8849741961,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=1)",0 1 10 11 12 13 14 18 20 21 24 27 29 3 30 4 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-07 13:24:41,
0.886859865,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=1)",0 1 10 11 12 13 14 18 20 21 24 27 29 3 4 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-07 13:32:29,
0.8873560937,LogisticRegression,"LogisticRegression(solver='lbfgs', multi_class='multinomial', C=1)",0 1 10 11 12 13 14 18 20 21 24 27 29 3 4 44 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-09 22:21:50,
,,,,,,,
0.8897379913,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",0 1 10 11 12 13 14 18 20 21 24 27 29 3 4 44 6 7 9,data/features/tun_train.pkl,data/features/tun_heldout.pkl,2016-07-09 22:37:15,
0.8934038801,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",0 1 10 11 12 13 14 18 21 24 25 27 29 3 4 44 6 7 9,data/features/tun_train.pkl,data/features/tun_test.pkl,2016-07-10 19:27:40,<< TEST
0.9089981746,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",0 1 10 11 12 13 14 18 21 24 25 27 29 3 4 44 6 7 9,data/features/tun_train.pkl,data/features/tun_test_all_nps.pkl,2016-07-17 22:20:55,
