,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8668288906094459,[ 0.86069652  0.86456606  0.87168142  0.86946903  0.86773658]
1,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.881429045459573,[ 0.87893864  0.8750691   0.88274336  0.88827434  0.88212507]
2,"{'C': 0.2, 'penalty': 'l1', 'solver': 'liblinear'}",0.8785532573830328,[ 0.87451631  0.87451631  0.87776549  0.88882743  0.87714444]
3,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.8844154407698264,[ 0.87783306  0.87893864  0.88938053  0.89380531  0.88212507]
4,"{'C': 0.3, 'penalty': 'l1', 'solver': 'liblinear'}",0.883862404601261,[ 0.87783306  0.87893864  0.88274336  0.8954646   0.88433868]
5,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.8849684769383918,[ 0.87341072  0.8817026   0.88827434  0.89712389  0.88433868]
6,"{'C': 0.4, 'penalty': 'l1', 'solver': 'liblinear'}",0.883973011834974,[ 0.87562189  0.88004422  0.88827434  0.89269912  0.88323188]
7,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.8848578697046787,[ 0.87451631  0.88059701  0.88606195  0.89878319  0.88433868]
8,"{'C': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.8860745492755226,[ 0.87838585  0.88391376  0.88993363  0.89214602  0.88599889]
9,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.8860745492755226,[ 0.8750691   0.88225539  0.88827434  0.89933628  0.88544549]
10,"{'C': 0.6, 'penalty': 'l1', 'solver': 'liblinear'}",0.8870700143789404,[ 0.87893864  0.88612493  0.89214602  0.89380531  0.88433868]
11,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.8861851565092357,[ 0.87617468  0.88280818  0.88993363  0.8965708   0.88544549]
12,"{'C': 0.7, 'penalty': 'l1', 'solver': 'liblinear'}",0.8870700143789404,[ 0.87893864  0.88778331  0.89159292  0.89214602  0.88489209]
13,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.8862957637429488,[ 0.87672747  0.88391376  0.88882743  0.8965708   0.88544549]
14,"{'C': 0.8, 'penalty': 'l1', 'solver': 'liblinear'}",0.8874018360800796,[ 0.87893864  0.88778331  0.89103982  0.8949115   0.88433868]
15,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.8859639420418095,[ 0.87617468  0.88280818  0.88993363  0.8960177   0.88489209]
16,"{'C': 0.9, 'penalty': 'l1', 'solver': 'liblinear'}",0.8877336577812189,[ 0.87949143  0.88446656  0.89269912  0.89712389  0.88489209]
17,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.8860745492755226,[ 0.87672747  0.88280818  0.88993363  0.8960177   0.88489209]
18,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8883973011834974,[ 0.88059701  0.88446656  0.89159292  0.8965708   0.88876591]
19,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8864063709766619,[ 0.87728027  0.88336097  0.88938053  0.8960177   0.88599889]
