,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.9031008635893694,[ 0.90151659  0.90288494  0.90643886  0.9019347   0.90272921]
1,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.9029412211883476,[ 0.90151659  0.90248584  0.9062108   0.90164963  0.90284324]
2,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.9028499969591923,[ 0.90134555  0.9023338   0.90643886  0.90134555  0.90278622]
3,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.9026903545581707,[ 0.90128853  0.90216276  0.90645787  0.90098445  0.90255816]
4,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.9026219363863042,[ 0.90104147  0.90225778  0.90660991  0.90085142  0.9023491 ]
5,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.9025991303290154,[ 0.90125052  0.90220077  0.90645787  0.90069938  0.90238711]
6,"{'C': 1.1111111111111112, 'penalty': 'l2', 'solver': 'liblinear'}",0.90228364653652,[ 0.90107948  0.90183967  0.90617279  0.90062336  0.9017029 ]
