,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.967740406,[ 0.96602977  0.9688026   0.96899225  0.96863591  0.96624152]
1,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.9711493784,[ 0.96963304  0.97231112  0.9726193   0.97167038  0.96951306]
2,"{'C': 0.2, 'penalty': 'l1', 'solver': 'liblinear'}",0.9702058659,[ 0.96854258  0.97133917  0.9714577   0.97079323  0.96889669]
3,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.9728657178,[ 0.97141096  0.97432615  0.97406538  0.97323503  0.97129107]
4,"{'C': 0.3, 'penalty': 'l1', 'solver': 'liblinear'}",0.9719459116,[ 0.97048644  0.97323566  0.97330678  0.97238158  0.97031909]
5,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.9732118304,[ 0.97129243  0.9745158   0.97449209  0.97385141  0.97190745]
6,"{'C': 0.4, 'penalty': 'l1', 'solver': 'liblinear'}",0.9725812416,[ 0.97124502  0.9741365   0.97408909  0.972429    0.97100659]
7,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.9736243208,[ 0.97164802  0.97498992  0.97501363  0.97430183  0.97216822]
8,"{'C': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.9730079558,[ 0.97152949  0.97427874  0.97430244  0.97340098  0.97152814]
9,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.9738661255,[ 0.97205101  0.97522699  0.9752744   0.97444408  0.97233417]
10,"{'C': 0.6, 'penalty': 'l1', 'solver': 'liblinear'}",0.9734014812,[ 0.97193249  0.97470545  0.97442098  0.97373287  0.97221564]
11,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.9738613843,[ 0.97207472  0.97520328  0.97536922  0.97425442  0.97240529]
12,"{'C': 0.7, 'penalty': 'l1', 'solver': 'liblinear'}",0.9736243208,[ 0.97202731  0.97491881  0.97477657  0.97396994  0.972429  ]
13,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.9739704334,[ 0.97216954  0.97532181  0.97529811  0.97439666  0.97266607]
14,"{'C': 0.8, 'penalty': 'l1', 'solver': 'liblinear'}",0.9737950065,[ 0.97214584  0.97501363  0.97496622  0.97415959  0.97268977]
15,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.9740083636,[ 0.9720036   0.97539293  0.97536922  0.97463373  0.97264236]
16,"{'C': 0.9, 'penalty': 'l1', 'solver': 'liblinear'}",0.9739230208,[ 0.97195619  0.97532181  0.97539293  0.97406477  0.97287943]
17,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.9740178461,[ 0.97190878  0.97546405  0.97544034  0.97449149  0.9727846 ]
18,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.9738756081,[ 0.97183766  0.97532181  0.97546405  0.97392253  0.97283201]
19,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.9739562096,[ 0.97176655  0.97546405  0.9752744   0.9745152   0.97276089]
,"{'C': 1.1111111111111112, 'penalty': 'l2', 'solver': 'liblinear'}",0.9739846573,[ 0.97171914  0.97551146  0.97541664  0.9745152   0.97276089]
,"{'C': 1.25, 'penalty': 'l2', 'solver': 'liblinear'}",0.9740605176,[ 0.97169543  0.97562999  0.97548776  0.9745389   0.97295055]
,"{'C': 1.4285714285714286, 'penalty': 'l2', 'solver': 'liblinear'}",0.9740557763,[ 0.9715532   0.97548776  0.97560629  0.97456261  0.97306908]
,"{'C': 1.6666666666666667, 'penalty': 'l2', 'solver': 'liblinear'}",0.9740273287,[ 0.97162431  0.97544034  0.97560629  0.97458632  0.97287943]
,"{'C': 2.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.9740131049,[ 0.97131614  0.97555887  0.97551146  0.97472856  0.97295055]
