,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8794,[ 0.88146185  0.8831      0.87815     0.8779939   0.87629381]
1,"{'C': 0.2, 'penalty': 'l2', 'solver': 'lbfgs'}",0.88129,[ 0.88326167  0.8844      0.87945     0.88029401  0.87904395]
2,"{'C': 0.3, 'penalty': 'l2', 'solver': 'lbfgs'}",0.88137,[ 0.88381162  0.8837      0.87915     0.88124406  0.87894395]
3,"{'C': 0.4, 'penalty': 'l2', 'solver': 'lbfgs'}",0.88129,[ 0.88516148  0.882       0.87905     0.88119406  0.87904395]
4,"{'C': 0.5, 'penalty': 'l2', 'solver': 'lbfgs'}",0.88097,[ 0.88471153  0.8821      0.8789      0.88079404  0.87834392]
5,"{'C': 0.6, 'penalty': 'l2', 'solver': 'lbfgs'}",0.87934,[ 0.88176182  0.88035     0.8767      0.88039402  0.87749387]
6,"{'C': 0.7, 'penalty': 'l2', 'solver': 'lbfgs'}",0.87918,[ 0.88111189  0.88        0.87685     0.88029401  0.87764388]
7,"{'C': 0.8, 'penalty': 'l2', 'solver': 'lbfgs'}",0.87945,[ 0.88236176  0.8794      0.87735     0.88129406  0.87684384]
8,"{'C': 0.9, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8791,[ 0.88161184  0.88085     0.87645     0.87969398  0.87689384]
9,"{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.87908,[ 0.88116188  0.8795      0.87695     0.87929396  0.87849392]
