,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8858457615,[ 0.87444568  0.88497783  0.88691796  0.89104519  0.89184692]
1,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8999833675,[ 0.88636364  0.90465632  0.89717295  0.90878847  0.90293955]
2,"{'C': 0.2, 'penalty': 'l1', 'solver': 'liblinear'}",0.8941065587,[ 0.88220621  0.89495565  0.89384701  0.90130302  0.89822518]
3,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.9040860454,[ 0.89190687  0.90715078  0.90382483  0.91156085  0.90599002]
4,"{'C': 0.3, 'penalty': 'l1', 'solver': 'liblinear'}",0.8983755613,[ 0.88608647  0.90327051  0.89772727  0.90407541  0.90072102]
5,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.9055275268,[ 0.89329268  0.90659645  0.90521064  0.91571943  0.90682196]
6,"{'C': 0.4, 'penalty': 'l1', 'solver': 'liblinear'}",0.8999833675,[ 0.88747228  0.90659645  0.8982816   0.9054616   0.9021076 ]
7,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.9068026834,[ 0.89412417  0.90659645  0.90853659  0.91627391  0.90848586]
8,"{'C': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.9019238233,[ 0.89052106  0.90659645  0.90105322  0.9104519   0.90099834]
9,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.9069690081,[ 0.89273836  0.90909091  0.90909091  0.91571943  0.90820854]
10,"{'C': 0.6, 'penalty': 'l1', 'solver': 'liblinear'}",0.9030880967,[ 0.8924612   0.9054878   0.90465632  0.9104519   0.90238491]
11,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.9073570993,[ 0.89273836  0.90936807  0.90936807  0.91627391  0.90904049]
12,"{'C': 0.7, 'penalty': 'l1', 'solver': 'liblinear'}",0.9044741365,[ 0.89384701  0.90604213  0.90604213  0.91239257  0.90404881]
13,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.9073570993,[ 0.89273836  0.90909091  0.90964523  0.91599667  0.9093178 ]
14,"{'C': 0.8, 'penalty': 'l1', 'solver': 'liblinear'}",0.9054720852,[ 0.89550998  0.9054878   0.90659645  0.914056    0.9057127 ]
15,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.9070798913,[ 0.89218404  0.90909091  0.90909091  0.9154422   0.90959512]
16,"{'C': 0.9, 'penalty': 'l1', 'solver': 'liblinear'}",0.9060819427,[ 0.89717295  0.90604213  0.90687361  0.91377876  0.90654465]
17,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.907800632,[ 0.89495565  0.90909091  0.90853659  0.91655115  0.90987243]
18,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.9058047347,[ 0.89689579  0.90576497  0.90687361  0.91322429  0.90626733]
19,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.9075234241,[ 0.89523282  0.90881375  0.90798226  0.91627391  0.9093178 ]
,"{'C': 1.1111111111111112, 'penalty': 'l2', 'solver': 'liblinear'}",0.9069690081,[ 0.89467849  0.90853659  0.90687361  0.91655115  0.90820854]
,"{'C': 1.25, 'penalty': 'l2', 'solver': 'liblinear'}",0.9069135666,[ 0.89440133  0.90909091  0.90576497  0.91710563  0.90820854]
,"{'C': 1.4285714285714286, 'penalty': 'l2', 'solver': 'liblinear'}",0.9069690081,[ 0.89440133  0.90742794  0.90742794  0.91738287  0.90820854]
,"{'C': 1.6666666666666667, 'penalty': 'l2', 'solver': 'liblinear'}",0.906303709,[ 0.89384701  0.90687361  0.90715078  0.91627391  0.90737659]
,"{'C': 2.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.9063591506,[ 0.89523282  0.90576497  0.90825942  0.91655115  0.90599002]
