,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.85935,[ 0.84603849  0.86253437  0.85603599  0.86596649  0.86618309]
1,"{'C': 0.2, 'penalty': 'l2', 'solver': 'lbfgs'}",0.862,[ 0.84853787  0.86428393  0.86228443  0.86796699  0.86693347]
2,"{'C': 0.3, 'penalty': 'l2', 'solver': 'lbfgs'}",0.86235,[ 0.84778805  0.86378405  0.86428393  0.86846712  0.86743372]
3,"{'C': 0.4, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8616,[ 0.84828793  0.86403399  0.8627843   0.86596649  0.86693347]
4,"{'C': 0.5, 'penalty': 'l2', 'solver': 'lbfgs'}",0.86085,[ 0.84728818  0.86353412  0.86228443  0.8652163   0.86593297]
5,"{'C': 0.6, 'penalty': 'l2', 'solver': 'lbfgs'}",0.86105,[ 0.84953762  0.86253437  0.86128468  0.86546637  0.86643322]
6,"{'C': 0.7, 'penalty': 'l2', 'solver': 'lbfgs'}",0.8611,[ 0.84778805  0.86228443  0.86228443  0.8672168   0.86593297]
7,"{'C': 0.8, 'penalty': 'l2', 'solver': 'lbfgs'}",0.86095,[ 0.84978755  0.86053487  0.86053487  0.86771693  0.86618309]
8,"{'C': 0.9, 'penalty': 'l2', 'solver': 'lbfgs'}",0.86015,[ 0.84828793  0.86053487  0.86128468  0.86571643  0.86493247]
9,"{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.85975,[ 0.84903774  0.86178455  0.85903524  0.86571643  0.86318159]
