,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.9570340781,[ 0.95780801  0.96130321  0.95568593  0.95543628  0.95493696]
1,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.9646236425,[ 0.96554737  0.96779428  0.96504806  0.96379978  0.96092872]
2,"{'C': 0.2, 'penalty': 'l1', 'solver': 'liblinear'}",0.9619523156,[ 0.96255149  0.9639246   0.96055424  0.96105355  0.96167769]
3,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.9657720634,[ 0.966546    0.9682936   0.96629634  0.9647984   0.96292598]
4,"{'C': 0.3, 'penalty': 'l1', 'solver': 'liblinear'}",0.963749844,[ 0.96429909  0.96642117  0.96267632  0.96330046  0.96205218]
5,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.9666208963,[ 0.96729497  0.96954188  0.96679566  0.9656722   0.96379978]
6,"{'C': 0.4, 'penalty': 'l1', 'solver': 'liblinear'}",0.9646985395,[ 0.96417426  0.96879291  0.96342529  0.96355012  0.96355012]
7,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.967095244,[ 0.96841842  0.96979154  0.96729497  0.96579703  0.96417426]
8,"{'C': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.9658469604,[ 0.96642117  0.96929222  0.9647984   0.96454875  0.96417426]
9,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.9676444888,[ 0.96929222  0.97066534  0.96729497  0.96592186  0.96504806]
10,"{'C': 0.6, 'penalty': 'l1', 'solver': 'liblinear'}",0.9667457246,[ 0.96717014  0.97016602  0.9656722   0.96554737  0.96517289]
11,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.9676195232,[ 0.96891774  0.97079016  0.9674198   0.96542254  0.96554737]
12,"{'C': 0.7, 'penalty': 'l1', 'solver': 'liblinear'}",0.96694545,[ 0.9674198   0.97004119  0.96617151  0.96542254  0.9656722 ]
13,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.9674697291,[ 0.96891774  0.97079016  0.96754463  0.96517289  0.96492323]
14,"{'C': 0.8, 'penalty': 'l1', 'solver': 'liblinear'}",0.9670702784,[ 0.96779428  0.96966671  0.96667083  0.9656722   0.96554737]
15,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.9675446261,[ 0.9682936   0.97091499  0.96791911  0.9656722   0.96492323]
16,"{'C': 0.9, 'penalty': 'l1', 'solver': 'liblinear'}",0.967020347,[ 0.9674198   0.96991636  0.96717014  0.9647984   0.96579703]
17,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.9675945575,[ 0.96816877  0.97091499  0.96779428  0.96592186  0.96517289]
18,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.9671202097,[ 0.9674198   0.96966671  0.96766945  0.96517289  0.9656722 ]
19,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.9676444888,[ 0.96816877  0.97091499  0.96804394  0.96592186  0.96517289]
,"{'C': 1.1111111111111112, 'penalty': 'l2', 'solver': 'liblinear'}",0.9675945575,[ 0.96841842  0.97091499  0.96816877  0.96542254  0.96504806]
,"{'C': 1.25, 'penalty': 'l2', 'solver': 'liblinear'}",0.9675446261,[ 0.9682936   0.97041568  0.96854325  0.96529772  0.96517289]
,"{'C': 1.4285714285714286, 'penalty': 'l2', 'solver': 'liblinear'}",0.9677693172,[ 0.9682936   0.97004119  0.96904257  0.96579703  0.9656722 ]
,"{'C': 1.6666666666666667, 'penalty': 'l2', 'solver': 'liblinear'}",0.9677693172,[ 0.96791911  0.97029085  0.96916739  0.9656722   0.96579703]
,"{'C': 2.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.9676944202,[ 0.9674198   0.97041568  0.96891774  0.96592186  0.96579703]
