,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.9340906253900886,[ 0.92825951  0.93636931  0.93008739  0.93757803  0.93816365]
1,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.9504431406815629,[ 0.95196507  0.94946974  0.94506866  0.95505618  0.95065584]
2,"{'C': 0.2, 'penalty': 'l1', 'solver': 'liblinear'}",0.9479465734614905,[ 0.94946974  0.94635059  0.94069913  0.95193508  0.95128045]
3,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.9538135064286606,[ 0.95446039  0.9525889   0.95006242  0.9588015   0.95315428]
4,"{'C': 0.3, 'penalty': 'l1', 'solver': 'liblinear'}",0.951691424291599,[ 0.95508422  0.95383656  0.94257179  0.95131086  0.95565272]
5,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.9559355885657221,[ 0.96007486  0.95508422  0.94881398  0.96254682  0.95315428]
6,"{'C': 0.4, 'penalty': 'l1', 'solver': 'liblinear'}",0.9525652228186244,[ 0.95508422  0.95570805  0.94818976  0.95193508  0.95190506]
7,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.9564349020097366,[ 0.96194635  0.95508422  0.95131086  0.96067416  0.95315428]
8,"{'C': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.9544376482336787,[ 0.95757954  0.95570805  0.9494382   0.95505618  0.9544035 ]
9,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.9564349020097366,[ 0.96069869  0.95633188  0.95318352  0.96004994  0.95190506]
10,"{'C': 0.6, 'penalty': 'l1', 'solver': 'liblinear'}",0.9546873049556859,[ 0.9588272   0.95321273  0.95068664  0.95505618  0.95565272]
11,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.9561852452877294,[ 0.96132252  0.95633188  0.95318352  0.9588015   0.95128045]
12,"{'C': 0.7, 'penalty': 'l1', 'solver': 'liblinear'}",0.955311446760704,[ 0.9588272   0.95321273  0.9525593   0.95692884  0.95502811]
13,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.9564349020097366,[ 0.96132252  0.95633188  0.95318352  0.9588015   0.95252967]
14,"{'C': 0.8, 'penalty': 'l1', 'solver': 'liblinear'}",0.9550617900386968,[ 0.95820337  0.95570805  0.95131086  0.95630462  0.95377889]
15,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.9564349020097366,[ 0.96069869  0.95633188  0.95318352  0.9588015   0.95315428]
16,"{'C': 0.9, 'penalty': 'l1', 'solver': 'liblinear'}",0.9554362751217077,[ 0.95945103  0.95508422  0.95193508  0.95817728  0.95252967]
17,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.9568093870927474,[ 0.96069869  0.95695571  0.95318352  0.95942572  0.95377889]
18,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.9548121333166896,[ 0.95945103  0.95570805  0.95193508  0.95630462  0.95065584]
19,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.9569342154537511,[ 0.96132252  0.95695571  0.95318352  0.95942572  0.95377889]
