,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.9522707231040565,[ 0.95013113  0.95252575  0.95417918  0.95220176  0.95231579]
1,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.9522669220945083,[ 0.95005511  0.95237371  0.95423619  0.95241082  0.95225878]
2,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.9522289119990269,[ 0.94992208  0.95239272  0.95421719  0.95248684  0.95212574]
3,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.952118682722131,[ 0.94990307  0.95220267  0.95414117  0.9523348   0.95201171]
4,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.9520236574834275,[ 0.94977004  0.95197461  0.95400813  0.95250584  0.95185967]
5,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.9518982241683391,[ 0.949618    0.9519366   0.9538941   0.95227778  0.95176464]
6,"{'C': 1.1111111111111112, 'penalty': 'l2', 'solver': 'liblinear'}",0.9517347807577693,[ 0.94929492  0.95176556  0.95379908  0.95218275  0.9516316 ]
