,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.9371,[ 0.93776556  0.93576606  0.93825     0.93723431  0.93648412]
1,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.93855,[ 0.93976506  0.9380155   0.94025     0.935984    0.93873468]
2,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.93905,[ 0.93876531  0.93976506  0.9415      0.93648412  0.93873468]
3,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.93895,[ 0.93951512  0.93926518  0.9415      0.93648412  0.9379845 ]
4,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.93915,[ 0.93976506  0.93926518  0.94175     0.935984    0.93898475]
5,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.93925,[ 0.93926518  0.940015    0.9415      0.935984    0.93948487]
6,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.9393,[ 0.93976506  0.940015    0.941       0.93548387  0.94023506]
7,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.93885,[ 0.93951512  0.93926518  0.94025     0.93548387  0.93973493]
8,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.9385,[ 0.93901525  0.93901525  0.93975     0.93573393  0.93898475]
9,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.93845,[ 0.93926518  0.93951512  0.93925     0.93523381  0.93898475]
10,"{'C': 1.1111111111111112, 'penalty': 'l2', 'solver': 'liblinear'}",0.93815,[ 0.93976506  0.9380155   0.939       0.93523381  0.93873468]
11,"{'C': 1.25, 'penalty': 'l2', 'solver': 'liblinear'}",0.9379,[ 0.93951512  0.93726568  0.93975     0.93473368  0.93823456]
12,"{'C': 1.4285714285714286, 'penalty': 'l2', 'solver': 'liblinear'}",0.9378,[ 0.93926518  0.93751562  0.94        0.9339835   0.93823456]
13,"{'C': 1.6666666666666667, 'penalty': 'l2', 'solver': 'liblinear'}",0.93755,[ 0.93851537  0.93651587  0.94025     0.9339835   0.93848462]
14,"{'C': 2.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.93695,[ 0.93851537  0.93551612  0.93925     0.93273318  0.93873468]
