,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.90366,[ 0.8997  0.9087  0.9043  0.9034  0.9022]
1,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.90708,[ 0.9037  0.9125  0.908   0.9066  0.9046]
2,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.90858,[ 0.9048  0.9142  0.9094  0.908   0.9065]
3,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.90954,[ 0.9054  0.9154  0.9104  0.9086  0.9079]
4,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.90958,[ 0.9058  0.9158  0.9105  0.9088  0.907 ]
5,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.90968,[ 0.9068  0.916   0.9101  0.9086  0.9069]
6,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.90972,[ 0.9067  0.9165  0.9108  0.9077  0.9069]
7,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.9099,[ 0.9069  0.9172  0.9104  0.9084  0.9066]
8,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.9097,[ 0.9063  0.9171  0.9108  0.9084  0.9059]
9,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.9094,[ 0.9063  0.9166  0.9104  0.908   0.9057]
10,"{'C': 1.1111111111111112, 'penalty': 'l2', 'solver': 'liblinear'}",0.90908,[ 0.9059  0.9162  0.9103  0.9078  0.9052]
11,"{'C': 1.25, 'penalty': 'l2', 'solver': 'liblinear'}",0.90878,[ 0.9054  0.9163  0.9103  0.9075  0.9044]
12,"{'C': 1.4285714285714286, 'penalty': 'l2', 'solver': 'liblinear'}",0.90834,[ 0.9053  0.9159  0.9092  0.9071  0.9042]
13,"{'C': 1.6666666666666667, 'penalty': 'l2', 'solver': 'liblinear'}",0.908,[ 0.9056  0.9154  0.9086  0.9064  0.904 ]
14,"{'C': 2.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.90758,[ 0.9056  0.9144  0.9077  0.9067  0.9035]
