,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.94511,[ 0.94645268  0.9444      0.94595     0.94535     0.94339717]
1,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.94705,[ 0.94870256  0.9459      0.94795     0.94705     0.94564728]
2,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.94788,[ 0.94985251  0.9462      0.94875     0.9481      0.94649732]
3,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.94801,[ 0.9499525   0.9464      0.94895     0.9479      0.94684734]
4,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.94803,[ 0.9499525   0.9463      0.9493      0.94765     0.94694735]
5,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.94806,[ 0.9499025   0.9466      0.94885     0.9475      0.94744737]
6,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.948,[ 0.94975251  0.9466      0.94835     0.9476      0.94769738]
7,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.94793,[ 0.94985251  0.9469      0.9482      0.94745     0.94724736]
8,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.94768,[ 0.94945253  0.9466      0.94815     0.94705     0.94714736]
9,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.94767,[ 0.94930253  0.9467      0.948       0.94705     0.94729736]
10,"{'C': 1.1111111111111112, 'penalty': 'l2', 'solver': 'liblinear'}",0.94742,[ 0.94895255  0.94635     0.9477      0.94705     0.94704735]
11,"{'C': 1.25, 'penalty': 'l2', 'solver': 'liblinear'}",0.94714,[ 0.94875256  0.946       0.9477      0.94675     0.94649732]
12,"{'C': 1.4285714285714286, 'penalty': 'l2', 'solver': 'liblinear'}",0.94694,[ 0.94855257  0.94575     0.94765     0.9468      0.9459473 ]
13,"{'C': 1.6666666666666667, 'penalty': 'l2', 'solver': 'liblinear'}",0.94679,[ 0.94835258  0.9457      0.947       0.947       0.94589729]
14,"{'C': 2.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.94667,[ 0.94850257  0.94575     0.94725     0.94645     0.94539727]
