,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8018995929443691,[ 0.81355932  0.78644068  0.8         0.8         0.80952381]
1,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8270013568521031,[ 0.8440678   0.83220339  0.81016949  0.82881356  0.81972789]
2,"{'C': 0.2, 'penalty': 'l1', 'solver': 'liblinear'}",0.8134328358208955,[ 0.83898305  0.81016949  0.79830508  0.80508475  0.81462585]
3,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.8280189959294437,[ 0.84067797  0.84237288  0.80508475  0.82542373  0.82653061]
4,"{'C': 0.3, 'penalty': 'l1', 'solver': 'liblinear'}",0.8212347354138398,[ 0.83389831  0.81525424  0.80677966  0.8220339   0.82823129]
5,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.828697421981004,[ 0.84237288  0.8440678   0.80338983  0.82542373  0.82823129]
6,"{'C': 0.4, 'penalty': 'l1', 'solver': 'liblinear'}",0.828697421981004,[ 0.83389831  0.82881356  0.81525424  0.82881356  0.83673469]
7,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.8276797829036635,[ 0.83898305  0.84237288  0.80677966  0.82372881  0.82653061]
8,"{'C': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.8307327001356852,[ 0.83220339  0.83728814  0.81186441  0.83389831  0.83843537]
9,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.8253052917232022,[ 0.83728814  0.84067797  0.80338983  0.81864407  0.82653061]
10,"{'C': 0.6, 'penalty': 'l1', 'solver': 'liblinear'}",0.8280189959294437,[ 0.82542373  0.83728814  0.80847458  0.83220339  0.83673469]
11,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.824966078697422,[ 0.83898305  0.8440678   0.8         0.81525424  0.82653061]
12,"{'C': 0.7, 'penalty': 'l1', 'solver': 'liblinear'}",0.8280189959294437,[ 0.82881356  0.83728814  0.80847458  0.82711864  0.83843537]
13,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.824966078697422,[ 0.84067797  0.84237288  0.8         0.81694915  0.82482993]
14,"{'C': 0.8, 'penalty': 'l1', 'solver': 'liblinear'}",0.828697421981004,[ 0.82711864  0.83898305  0.81525424  0.82881356  0.83333333]
15,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.8239484396200815,[ 0.84067797  0.83898305  0.79491525  0.82033898  0.82482993]
16,"{'C': 0.9, 'penalty': 'l1', 'solver': 'liblinear'}",0.8273405698778833,[ 0.83389831  0.83728814  0.81016949  0.82372881  0.83163265]
17,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.8242876526458616,[ 0.84067797  0.83898305  0.79322034  0.82542373  0.82312925]
18,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8242876526458616,[ 0.83050847  0.84067797  0.80169492  0.82542373  0.82312925]
19,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8236092265943012,[ 0.83728814  0.83898305  0.79322034  0.82542373  0.82312925]
