,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8778,[ 0.86303424  0.881       0.87675     0.88425     0.88397099]
1,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.8814,[ 0.86628343  0.8855      0.8805      0.888       0.88672168]
2,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.88225,[ 0.86653337  0.887       0.8825      0.88925     0.88597149]
3,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.88345,[ 0.86803299  0.88775     0.8845      0.88975     0.88722181]
4,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.8835,[ 0.86853287  0.88825     0.88375     0.88825     0.88872218]
5,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.8836,[ 0.87003249  0.8875      0.8835      0.88625     0.89072268]
6,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.8832,[ 0.87003249  0.88675     0.88325     0.88625     0.88972243]
7,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.8832,[ 0.8707823   0.88775     0.88325     0.8855      0.88872218]
8,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.8823,[ 0.86953262  0.888       0.882       0.884       0.88797199]
9,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.88175,[ 0.86853287  0.88775     0.88175     0.8835      0.88722181]
10,"{'C': 1.1111111111111112, 'penalty': 'l2', 'solver': 'liblinear'}",0.8815,[ 0.86853287  0.887       0.88125     0.88375     0.88697174]
11,"{'C': 1.25, 'penalty': 'l2', 'solver': 'liblinear'}",0.88095,[ 0.86778305  0.88575     0.881       0.8835      0.88672168]
12,"{'C': 1.4285714285714286, 'penalty': 'l2', 'solver': 'liblinear'}",0.87985,[ 0.86603349  0.88475     0.88125     0.881       0.88622156]
13,"{'C': 1.6666666666666667, 'penalty': 'l2', 'solver': 'liblinear'}",0.87935,[ 0.86528368  0.8845      0.881       0.88        0.88597149]
14,"{'C': 2.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.879,[ 0.86503374  0.884       0.8795      0.87975     0.88672168]
