,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.86868,[ 0.8629  0.8747  0.8701  0.8697  0.866 ]
1,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.8728,[ 0.868   0.8791  0.874   0.8727  0.8702]
2,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.87404,[ 0.8691  0.88    0.8755  0.8746  0.871 ]
3,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.87472,[ 0.8698  0.8801  0.877   0.8752  0.8715]
4,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.8749,[ 0.8708  0.8796  0.8771  0.8751  0.8719]
5,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.87544,[ 0.8708  0.8804  0.8779  0.8754  0.8727]
6,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.87548,[ 0.8711  0.8805  0.8771  0.8755  0.8732]
7,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.87516,[ 0.8704  0.8809  0.8767  0.8751  0.8727]
8,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.87512,[ 0.8704  0.8807  0.8769  0.8753  0.8723]
9,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.87508,[ 0.8699  0.8815  0.8765  0.8753  0.8722]
10,"{'C': 1.1111111111111112, 'penalty': 'l2', 'solver': 'liblinear'}",0.87494,[ 0.8706  0.8811  0.8761  0.8747  0.8722]
11,"{'C': 1.25, 'penalty': 'l2', 'solver': 'liblinear'}",0.87436,[ 0.8704  0.8804  0.8752  0.8741  0.8717]
12,"{'C': 1.4285714285714286, 'penalty': 'l2', 'solver': 'liblinear'}",0.87364,[ 0.8705  0.8797  0.8742  0.8737  0.8701]
13,"{'C': 1.6666666666666667, 'penalty': 'l2', 'solver': 'liblinear'}",0.8732,[ 0.8701  0.8796  0.8738  0.8726  0.8699]
14,"{'C': 2.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.87266,[ 0.8693  0.8793  0.8741  0.8721  0.8685]
