,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8093946074,[ 0.81864407  0.80932203  0.81440678  0.80322307  0.80135823]
1,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8302526708,[ 0.83389831  0.8279661   0.82372881  0.82527566  0.84040747]
2,"{'C': 0.2, 'penalty': 'l1', 'solver': 'liblinear'}",0.8207563168,[ 0.83135593  0.81779661  0.82288136  0.81340119  0.81833616]
3,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.8302526708,[ 0.8279661   0.83135593  0.82627119  0.82188295  0.84380306]
4,"{'C': 0.3, 'penalty': 'l1', 'solver': 'liblinear'}",0.8253349161,[ 0.83220339  0.8220339   0.83135593  0.81679389  0.82427844]
5,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.8292352043,[ 0.82881356  0.82966102  0.82711864  0.81340119  0.84719864]
6,"{'C': 0.4, 'penalty': 'l1', 'solver': 'liblinear'}",0.8280481601,[ 0.83220339  0.82627119  0.83559322  0.81594572  0.83022071]
7,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.8282177378,[ 0.82542373  0.83050847  0.82542373  0.81255301  0.84719864]
8,"{'C': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.8256740716,[ 0.82881356  0.82457627  0.82881356  0.81594572  0.83022071]
9,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.8294047821,[ 0.8279661   0.83050847  0.82881356  0.81509754  0.84465195]
10,"{'C': 0.6, 'penalty': 'l1', 'solver': 'liblinear'}",0.8268611158,[ 0.82881356  0.8220339   0.83050847  0.81594572  0.83701188]
11,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.8292352043,[ 0.83050847  0.83135593  0.8279661   0.81340119  0.84295416]
12,"{'C': 0.7, 'penalty': 'l1', 'solver': 'liblinear'}",0.8278785823,[ 0.83135593  0.82627119  0.82881356  0.81509754  0.83786078]
13,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.8280481601,[ 0.8279661   0.83220339  0.8279661   0.81340119  0.83870968]
14,"{'C': 0.8, 'penalty': 'l1', 'solver': 'liblinear'}",0.8272002713,[ 0.82966102  0.82542373  0.82711864  0.81509754  0.83870968]
15,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.8287264711,[ 0.83050847  0.83305085  0.8279661   0.81424936  0.83786078]
16,"{'C': 0.9, 'penalty': 'l1', 'solver': 'liblinear'}",0.8278785823,[ 0.83135593  0.82881356  0.82457627  0.81933842  0.83531409]
17,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.8287264711,[ 0.82966102  0.83474576  0.8279661   0.81255301  0.83870968]
18,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8270306936,[ 0.83050847  0.82966102  0.82288136  0.81679389  0.83531409]
19,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8280481601,[ 0.83050847  0.83474576  0.8279661   0.80916031  0.83786078]
,"{'C': 1.1111111111111112, 'penalty': 'l2', 'solver': 'liblinear'}",0.8278785823,[ 0.83135593  0.83389831  0.82711864  0.81000848  0.83701188]
,"{'C': 1.25, 'penalty': 'l2', 'solver': 'liblinear'}",0.8278785823,[ 0.82966102  0.83559322  0.82627119  0.81000848  0.83786078]
,"{'C': 1.4285714285714286, 'penalty': 'l2', 'solver': 'liblinear'}",0.8282177378,[ 0.83135593  0.83559322  0.8279661   0.81085666  0.83531409]
,"{'C': 1.6666666666666667, 'penalty': 'l2', 'solver': 'liblinear'}",0.8272002713,[ 0.83050847  0.83474576  0.82627119  0.81000848  0.8344652 ]
,"{'C': 2.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.8249957606,[ 0.8279661   0.83389831  0.8220339   0.80831213  0.8327674 ]
