,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.85635,[ 0.84203949  0.86053487  0.85728568  0.86171543  0.86018009]
1,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.8609,[ 0.84603849  0.86628343  0.86053487  0.86646662  0.86518259]
2,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.86315,[ 0.8487878   0.86503374  0.86453387  0.86871718  0.86868434]
3,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.8635,[ 0.8487878   0.86603349  0.86628343  0.86796699  0.86843422]
4,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.86345,[ 0.84778805  0.86653337  0.86578355  0.86821705  0.86893447]
5,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.8632,[ 0.84828793  0.86578355  0.86528368  0.86746687  0.86918459]
6,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.8633,[ 0.84828793  0.86653337  0.86528368  0.8672168   0.86918459]
7,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.86305,[ 0.84828793  0.86578355  0.86453387  0.86771693  0.86893447]
8,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.86305,[ 0.84953762  0.86578355  0.86453387  0.86696674  0.86843422]
9,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8628,[ 0.84928768  0.86553362  0.86378405  0.8672168   0.86818409]
10,"{'C': 1.1111111111111112, 'penalty': 'l2', 'solver': 'liblinear'}",0.863,[ 0.85003749  0.86603349  0.86378405  0.8672168   0.86793397]
11,"{'C': 1.25, 'penalty': 'l2', 'solver': 'liblinear'}",0.86315,[ 0.85028743  0.86503374  0.86303424  0.86821705  0.86918459]
12,"{'C': 1.4285714285714286, 'penalty': 'l2', 'solver': 'liblinear'}",0.8628,[ 0.85003749  0.86453387  0.86303424  0.86896724  0.86743372]
13,"{'C': 1.6666666666666667, 'penalty': 'l2', 'solver': 'liblinear'}",0.8624,[ 0.84978755  0.86553362  0.86153462  0.86796699  0.86718359]
14,"{'C': 2.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.86145,[ 0.85028743  0.86453387  0.86103474  0.86646662  0.86493247]
