,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.89295,[ 0.89450527  0.89535     0.8922      0.8914      0.89129456]
1,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.89633,[ 0.89755512  0.89895     0.895       0.89495     0.89519476]
2,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.89756,[ 0.89830508  0.89905     0.89625     0.8976      0.89659483]
3,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.89811,[ 0.89870506  0.8987      0.89695     0.89855     0.89764488]
4,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.89833,[ 0.89900505  0.89895     0.8974      0.89895     0.89734487]
5,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.89859,[ 0.89880506  0.89965     0.8977      0.89885     0.8979449 ]
6,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.89879,[ 0.89940503  0.8997      0.89805     0.89875     0.8980449 ]
7,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.8988,[ 0.899905    0.8993      0.8977      0.89885     0.89824491]
8,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.89855,[ 0.89975501  0.8993      0.89705     0.89865     0.8979949 ]
9,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.89843,[ 0.899955    0.899       0.89635     0.89895     0.89789489]
10,"{'C': 1.1111111111111112, 'penalty': 'l2', 'solver': 'liblinear'}",0.89818,[ 0.89975501  0.8986      0.8966      0.8986      0.89734487]
11,"{'C': 1.25, 'penalty': 'l2', 'solver': 'liblinear'}",0.89798,[ 0.899905    0.8982      0.89615     0.8985      0.89714486]
12,"{'C': 1.4285714285714286, 'penalty': 'l2', 'solver': 'liblinear'}",0.89761,[ 0.89925504  0.8979      0.89555     0.89805     0.89729486]
13,"{'C': 1.6666666666666667, 'penalty': 'l2', 'solver': 'liblinear'}",0.897,[ 0.89865507  0.8975      0.89455     0.8974      0.89689484]
14,"{'C': 2.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.89629,[ 0.89815509  0.8968      0.89365     0.8967      0.89614481]
