,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.9140656158,[ 0.91211536  0.91421255  0.91570286  0.91326798  0.91502939]
1,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.9208832728,[ 0.9195038   0.92059361  0.92340631  0.91849457  0.92241814]
2,"{'C': 0.2, 'penalty': 'l1', 'solver': 'liblinear'}",0.9198253605,[ 0.91849628  0.91990093  0.92252472  0.91813774  0.92006717]
3,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.9234734787,[ 0.92214852  0.9234273   0.92613505  0.92137025  0.92428631]
4,"{'C': 0.3, 'penalty': 'l1', 'solver': 'liblinear'}",0.9224827355,[ 0.92109903  0.92294452  0.92510653  0.92065658  0.92260705]
5,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.9246825214,[ 0.92265228  0.92470771  0.92739447  0.92313344  0.92552477]
6,"{'C': 0.4, 'penalty': 'l1', 'solver': 'liblinear'}",0.9239604542,[ 0.92271525  0.92439285  0.92674377  0.92189501  0.92405542]
7,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.9251527046,[ 0.92332396  0.92500157  0.9277723   0.92349027  0.92617548]
8,"{'C': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.9247706807,[ 0.92357584  0.92523247  0.92701665  0.92288155  0.92514694]
9,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.9256144917,[ 0.92391167  0.92533742  0.9281921   0.924078    0.92655332]
10,"{'C': 0.6, 'penalty': 'l1', 'solver': 'liblinear'}",0.925501144,[ 0.92399563  0.92542138  0.92791923  0.92401503  0.92615449]
11,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.9256270859,[ 0.92393266  0.92554732  0.9281921   0.92397305  0.92649034]
12,"{'C': 0.7, 'penalty': 'l1', 'solver': 'liblinear'}",0.9257698201,[ 0.92397464  0.92598812  0.92856993  0.92420394  0.92611251]
13,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.9256228878,[ 0.92389068  0.92565227  0.92825507  0.92409899  0.92621746]
14,"{'C': 0.8, 'penalty': 'l1', 'solver': 'liblinear'}",0.9258621775,[ 0.92407959  0.92624     0.92840201  0.924078    0.92651134]
15,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.9255305304,[ 0.92401662  0.92548435  0.92817111  0.9238681   0.92611251]
16,"{'C': 0.9, 'penalty': 'l1', 'solver': 'liblinear'}",0.926084675,[ 0.92422652  0.92636595  0.92871686  0.92435087  0.92676322]
17,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.9254423711,[ 0.92374376  0.92565227  0.92812913  0.92380513  0.92588161]
18,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.9261812305,[ 0.92422652  0.92657585  0.92867488  0.92435087  0.92707809]
19,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.925501144,[ 0.92372277  0.92542138  0.92808715  0.924078    0.92619647]
,"{'C': 1.1111111111111112, 'penalty': 'l2', 'solver': 'liblinear'}",0.9251988833,[ 0.92359683  0.92504355  0.92785626  0.9236372   0.92586062]
,"{'C': 1.25, 'penalty': 'l2', 'solver': 'liblinear'}",0.9248882265,[ 0.92330297  0.92447682  0.92781428  0.92323839  0.92560873]
,"{'C': 1.4285714285714286, 'penalty': 'l2', 'solver': 'liblinear'}",0.9246699272,[ 0.9230301   0.92409899  0.92758338  0.92325938  0.92537783]
,"{'C': 1.6666666666666667, 'penalty': 'l2', 'solver': 'liblinear'}",0.9243046955,[ 0.92256832  0.92403602  0.92691169  0.92283957  0.92516793]
,"{'C': 2.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.9238848891,[ 0.92225347  0.92361621  0.92653387  0.9223358   0.92468514]
