,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.90883,[ 0.91080446  0.91125444  0.9067      0.90919546  0.90619531]
1,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.91245,[ 0.91445428  0.9159042   0.91015     0.91234562  0.90939547]
2,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.91367,[ 0.9160542   0.91720414  0.91105     0.91329566  0.91074554]
3,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.91437,[ 0.91660417  0.9179541   0.9113      0.9139957   0.9119956 ]
4,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.91492,[ 0.91725414  0.91840408  0.91165     0.91424571  0.91304565]
5,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.91532,[ 0.91725414  0.91825409  0.91205     0.91494575  0.9140957 ]
6,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.91549,[ 0.9179041   0.9179541   0.91235     0.91509575  0.91414571]
7,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.91535,[ 0.91720414  0.91810409  0.912       0.91524576  0.91419571]
8,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.91526,[ 0.91745413  0.9180541   0.91165     0.91519576  0.9139457 ]
9,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.91525,[ 0.91730413  0.91785411  0.9113      0.91559578  0.91419571]
10,"{'C': 1.1111111111111112, 'penalty': 'l2', 'solver': 'liblinear'}",0.9151,[ 0.91720414  0.91755412  0.91115     0.91534577  0.91424571]
11,"{'C': 1.25, 'penalty': 'l2', 'solver': 'liblinear'}",0.91457,[ 0.91675416  0.91705415  0.91055     0.91454573  0.9139457 ]
12,"{'C': 1.4285714285714286, 'penalty': 'l2', 'solver': 'liblinear'}",0.91444,[ 0.91690415  0.91635418  0.9105      0.91464573  0.91379569]
13,"{'C': 1.6666666666666667, 'penalty': 'l2', 'solver': 'liblinear'}",0.91401,[ 0.91665417  0.91610419  0.9105      0.91384569  0.91294565]
14,"{'C': 2.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.91369,[ 0.91630418  0.91610419  0.91005     0.91384569  0.91214561]
