,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.838628819185692,[ 0.84354893  0.83807588  0.83824526  0.8379065   0.83536585]
1,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8536345776031434,[ 0.85336945  0.85704607  0.85501355  0.85450542  0.84823848]
2,"{'C': 0.2, 'penalty': 'l1', 'solver': 'liblinear'}",0.8453356818643724,[ 0.84828987  0.84468157  0.84654472  0.84688347  0.84027778]
3,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.8578687080821082,[ 0.85709448  0.85924797  0.85941734  0.86060298  0.85298103]
4,"{'C': 0.3, 'penalty': 'l1', 'solver': 'liblinear'}",0.8501117810446447,[ 0.85303082  0.84688347  0.85044038  0.85230352  0.84789973]
5,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.8588510263532281,[ 0.85794108  0.85924797  0.86212737  0.86178862  0.85315041]
6,"{'C': 0.4, 'penalty': 'l1', 'solver': 'liblinear'}",0.8542104193482827,[ 0.85743312  0.85382791  0.8553523   0.85315041  0.85128726]
7,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.8591220107038818,[ 0.85827972  0.85958672  0.86161924  0.86144986  0.8546748 ]
8,"{'C': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.8560056906713638,[ 0.85675584  0.85636856  0.85721545  0.85687669  0.85281165]
9,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.8594946141860308,[ 0.85946495  0.85992547  0.86161924  0.86094173  0.85552168]
10,"{'C': 0.6, 'penalty': 'l1', 'solver': 'liblinear'}",0.8571912472054739,[ 0.85743312  0.85687669  0.8597561   0.85704607  0.85484417]
11,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.8591558837477136,[ 0.86014223  0.85907859  0.86178862  0.85992547  0.85484417]
12,"{'C': 0.7, 'penalty': 'l1', 'solver': 'liblinear'}",0.8573267393808007,[ 0.85573993  0.85789295  0.86128049  0.85772358  0.85399729]
13,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.8588848993970598,[ 0.85980359  0.85857046  0.86026423  0.8604336   0.8553523 ]
14,"{'C': 0.8, 'penalty': 'l1', 'solver': 'liblinear'}",0.8576993428629497,[ 0.85590924  0.85721545  0.86178862  0.8597561   0.85382791]
15,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.8589187724408915,[ 0.85929563  0.85873984  0.86060298  0.86128049  0.8546748 ]
16,"{'C': 0.9, 'penalty': 'l1', 'solver': 'liblinear'}",0.857529977643791,[ 0.85624788  0.85857046  0.86212737  0.85789295  0.85281165]
17,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.8588171533093963,[ 0.85895699  0.85840108  0.8597561   0.86161924  0.8553523 ]
18,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8569202628548201,[ 0.85692516  0.85721545  0.86026423  0.85738482  0.85281165]
19,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.858139692432762,[ 0.85861835  0.85721545  0.8597561   0.86077236  0.85433604]
