,parameters,mean_validation_score,cv_validation_scores
0,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8319918837,[ 0.83057153  0.82786608  0.83260061  0.82820426  0.84071694]
1,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8466012851,[ 0.84409875  0.84240785  0.85322962  0.84748055  0.84578965]
2,"{'C': 0.2, 'penalty': 'l1', 'solver': 'liblinear'}",0.8405816706,[ 0.83530605  0.84308421  0.8397024   0.83902604  0.84578965]
3,"{'C': 0.2, 'penalty': 'l2', 'solver': 'liblinear'}",0.8476158269,[ 0.84342239  0.84037876  0.85762597  0.84815692  0.8484951 ]
4,"{'C': 0.3, 'penalty': 'l1', 'solver': 'liblinear'}",0.8420020291,[ 0.83733514  0.8413933   0.84511329  0.84071694  0.84545147]
5,"{'C': 0.3, 'penalty': 'l2', 'solver': 'liblinear'}",0.8486303686,[ 0.84545147  0.83936422  0.85762597  0.84883328  0.8518769 ]
6,"{'C': 0.4, 'penalty': 'l1', 'solver': 'liblinear'}",0.844234021,[ 0.83936422  0.84274603  0.84477511  0.84612783  0.84815692]
7,"{'C': 0.4, 'penalty': 'l2', 'solver': 'liblinear'}",0.8478863713,[ 0.84612783  0.83902604  0.85525871  0.84748055  0.85153872]
8,"{'C': 0.5, 'penalty': 'l1', 'solver': 'liblinear'}",0.8462631045,[ 0.84173148  0.84274603  0.84612783  0.84781874  0.85289144]
9,"{'C': 0.5, 'penalty': 'l2', 'solver': 'liblinear'}",0.8478863713,[ 0.84511329  0.84037876  0.85559689  0.84612783  0.85221508]
10,"{'C': 0.6, 'penalty': 'l1', 'solver': 'liblinear'}",0.8477510991,[ 0.84342239  0.84342239  0.84917146  0.84714237  0.85559689]
11,"{'C': 0.6, 'penalty': 'l2', 'solver': 'liblinear'}",0.8480216436,[ 0.84376057  0.84173148  0.85728779  0.84680419  0.85052418]
12,"{'C': 0.7, 'penalty': 'l1', 'solver': 'liblinear'}",0.8475481907,[ 0.84206967  0.84105512  0.84781874  0.84950964  0.85728779]
13,"{'C': 0.7, 'penalty': 'l2', 'solver': 'liblinear'}",0.8480892797,[ 0.84477511  0.84004058  0.85661143  0.84781874  0.85120054]
14,"{'C': 0.8, 'penalty': 'l1', 'solver': 'liblinear'}",0.8486980047,[ 0.84206967  0.84071694  0.8484951   0.85255326  0.85965506]
15,"{'C': 0.8, 'penalty': 'l2', 'solver': 'liblinear'}",0.8480216436,[ 0.84376057  0.84173148  0.85627325  0.84883328  0.84950964]
16,"{'C': 0.9, 'penalty': 'l1', 'solver': 'liblinear'}",0.8486980047,[ 0.84274603  0.8413933   0.84950964  0.85221508  0.85762597]
17,"{'C': 0.9, 'penalty': 'l2', 'solver': 'liblinear'}",0.8479540074,[ 0.84545147  0.84105512  0.85627325  0.84883328  0.84815692]
18,"{'C': 1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8481569158,[ 0.84240785  0.84071694  0.84781874  0.85221508  0.85762597]
19,"{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8475481907,[ 0.84578965  0.8397024   0.85559689  0.84815692  0.8484951 ]
,"{'C': 1.1111111111111112, 'penalty': 'l2', 'solver': 'liblinear'}",0.8470747379,[ 0.84612783  0.83902604  0.85492053  0.84578965  0.84950964]
,"{'C': 1.25, 'penalty': 'l2', 'solver': 'liblinear'}",0.8466689212,[ 0.84511329  0.83767332  0.85458235  0.84612783  0.84984782]
,"{'C': 1.4285714285714286, 'penalty': 'l2', 'solver': 'liblinear'}",0.8458572878,[ 0.84376057  0.83699696  0.85255326  0.84612783  0.84984782]
,"{'C': 1.6666666666666667, 'penalty': 'l2', 'solver': 'liblinear'}",0.8441663848,[ 0.84274603  0.83530605  0.84984782  0.84477511  0.84815692]
,"{'C': 2.0, 'penalty': 'l2', 'solver': 'liblinear'}",0.8431518431,[ 0.84105512  0.83530605  0.84578965  0.84646601  0.84714237]
