,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,52.05677556991577,0.18227291107177734,0.8708530985829837,0.8902933643343356,0.1,{'C': 0.1},10,0.8691917368251012,0.8913379167478346,0.8700824812801703,0.8903644224830142,0.8730662510927819,0.8899795695348506,0.8696428910808294,0.8901891471984263,0.8722821955298768,0.8895957657075525,1.5190703457685224,0.045815667624051946,0.001533556299316468,0.0005817407045636072
1,53.54388298988342,0.19055910110473634,0.8725255427841635,0.8959483136683829,0.2,{'C': 0.2},8,0.871225222828256,0.8977521630263839,0.8709377019270972,0.8947023328740438,0.8745106237409251,0.8944030028032499,0.8722466123116103,0.8959048990122155,0.8737076174547667,0.8969791706260215,0.9790033854082295,0.04234959588694185,0.0013876433583373728,0.001285214162356053
2,51.64393510818481,0.20204629898071289,0.8731299033023171,0.9006435102992665,0.3,{'C': 0.3},4,0.8710921910336571,0.9020995966151785,0.8724390892850356,0.8995913906970114,0.8748147021931658,0.8998004466194707,0.8723036281049851,0.8994160715728058,0.875,0.9023100459918659,1.607997462272413,0.04406942371728113,0.001526306425031026,0.0012823296321110003
3,51.07893438339234,0.22505583763122558,0.8736392385817673,0.9018379799824083,0.4,{'C': 0.4},1,0.8713772591649405,0.9036912799509667,0.8720970010262648,0.8980614814462868,0.8771523052947661,0.9037012400817218,0.8725697018074007,0.9020150044424172,0.875,0.9017208939906496,4.137075447421728,0.09226192368845644,0.0021369344645149704,0.0020597789664615635
4,51.442838764190675,0.271077823638916,0.8736202335340266,0.9024584997990706,0.5,{'C': 0.5},2,0.8713582546228549,0.9046938028878362,0.8745296286441901,0.904513707416734,0.8756509179368277,0.901986031263363,0.8716764543778627,0.8997676639537039,0.8748859662460088,0.9013312934737162,2.7019824575984934,0.06878339051677922,0.0017577067947995386,0.0018949868819709333
5,53.41026177406311,0.1998314380645752,0.8733123517606276,0.9040549232224023,0.6,{'C': 0.6},3,0.8711492046599137,0.9074733096085409,0.8738074423201186,0.90421437734594,0.8754418640009123,0.9027794935145151,0.8718284964935287,0.90259465674606,0.8743348031017181,0.9032127788969554,0.5011277527752421,0.014218179998735377,0.0015941442571076074,0.0017988383634458976
6,50.68840298652649,0.22432503700256348,0.8728372255671106,0.9034638599989865,0.7,{'C': 0.7},7,0.8701609684714647,0.9059623982629271,0.8728762020601315,0.9036537273720721,0.8751187806454065,0.8998337055162255,0.8713723701465306,0.9028464729107573,0.8746578987380265,0.9050229959329507,3.0345183160832985,0.06969401320300382,0.0018883920074452265,0.002110395049356294
7,53.33291320800781,0.2133162498474121,0.8725179407650672,0.9037859892129625,0.8,{'C': 0.8},9,0.8694768049563846,0.9037530467669823,0.8719449618001445,0.9023708842115266,0.874871716902961,0.9021713308309973,0.872075564931486,0.9032645827691226,0.874220769347727,0.9073701014861835,1.8787969190510536,0.061760060912714264,0.0019085384907578094,0.001883000505948819
8,49.44621539115906,0.20470623970031737,0.8729626588821991,0.9052256282433323,0.9,{'C': 0.9},6,0.8706170774815181,0.90734502468297,0.8737504276103235,0.9044756972490141,0.873541373674408,0.903102579940134,0.8727977649808997,0.9049465246993648,0.8741067355937358,0.9062583146451785,3.1428277264773383,0.02426491673651962,0.0012484756741828389,0.0014632779541231618
9,47.81315069198608,0.20977210998535156,0.8730234750349692,0.9053130485137897,1,{'C': 1},5,0.8698378912560102,0.9056915745311661,0.8713368048956631,0.9038437782106713,0.875365844387852,0.9034684278044377,0.8743371914020184,0.9080348361531992,0.8742397749733921,0.9055266258694743,2.7145160042246665,0.095805588991561,0.0020825464829681384,0.0016222457256365665
