,test-merror-mean,test-merror-std,train-merror-mean,train-merror-std
0,0.202,0.012903487900563938,0.1269,0.004663287467012944
1,0.19229999999999997,0.013611024943037908,0.10892500000000001,0.002260530911091465
2,0.187,0.011670475568716128,0.102125,0.001785357107135708
3,0.18299999999999997,0.01177709641634983,0.09877499999999999,0.004297819214438874
4,0.1824,0.010071742649611347,0.0999,0.004561660881740333
5,0.18,0.012012493496356197,0.09672499999999999,0.0053592210254849535
6,0.1801,0.009630160954002797,0.0965,0.00547779608966964
7,0.1774,0.01013607419073085,0.094625,0.0037807076057267412
8,0.1778,0.010888526071052961,0.094475,0.004890296514527523
9,0.17679999999999998,0.010883933112620639,0.09417499999999998,0.004563852539247958
10,0.1758,0.011817783210061016,0.09392500000000001,0.0031982417044369893
11,0.1762,0.011200892821556683,0.094625,0.003110466202999161
12,0.1782,0.009479451460923254,0.09430000000000001,0.0036069377593742897
13,0.17679999999999998,0.008964373932405989,0.09432500000000002,0.0028235615806991026
14,0.176,0.009327379053088811,0.09382499999999999,0.0030594117081556736
15,0.1765,0.008031189202104503,0.09395,0.002629876422952229
16,0.1755,0.009327379053088813,0.0937,0.0029650042158486075
17,0.1744,0.00886791971095814,0.09295,0.0029512709126747437
18,0.17450000000000002,0.00930591209930547,0.09232500000000002,0.0029010773860757345
19,0.1744,0.009216289925995163,0.09215,0.0024372115213907902
20,0.1742,0.008992218858546536,0.0919,0.002547547840571402
21,0.1746,0.008598837130682262,0.09145,0.0023002717230796907
22,0.17360000000000003,0.007761443164772897,0.09129999999999999,0.002363260459619297
23,0.1738,0.009271461589199406,0.091325,0.002010286049297464
24,0.1741,0.007371566997592844,0.09159999999999999,0.0024204854884919288
25,0.1749,0.008679861750051091,0.09107499999999999,0.002994369716651572
26,0.175,0.008006247560499235,0.09095,0.0031500000000000026
27,0.17370000000000002,0.007704544113703287,0.090975,0.0028321811382748833
28,0.17440000000000003,0.00841070746132571,0.09104999999999999,0.0028967654375182013
29,0.1741,0.008481745103456008,0.090625,0.0029293770668864082
30,0.1734,0.008242572413997947,0.09012499999999998,0.0032958306995354023
31,0.17329999999999998,0.007447147104764343,0.08990000000000001,0.0022268250941643373
32,0.1738,0.008225569889071515,0.089825,0.0019678668654154446
33,0.1741,0.009281163720137682,0.08967499999999999,0.0022172618248641742
34,0.1738,0.008599999999999998,0.08959999999999999,0.0020907534527055092
35,0.1733,0.009113725912051555,0.08959999999999999,0.0021728437587640783
36,0.1736,0.009541488353501246,0.08924999999999998,0.0020325476624177864
37,0.1736,0.008386894538504698,0.0889,0.0020037464909513896
38,0.17270000000000002,0.008599999999999995,0.08854999999999999,0.0019503204864842103
39,0.17250000000000001,0.00832466215530696,0.088175,0.0018313246571812452
40,0.17220000000000002,0.007991245209602814,0.08814999999999999,0.001615162530521311
41,0.172,0.008294576541331084,0.08835,0.0015358222553407683
42,0.1723,0.00860581198958006,0.087925,0.0017058722109231962
43,0.1718,0.007639371701913706,0.0877,0.0013638181696985828
44,0.17240000000000003,0.007914543574963746,0.087275,0.0012484990989183747
45,0.1722,0.00818290901819151,0.08714999999999999,0.0010764525070805502
46,0.17220000000000002,0.008382123835878346,0.08679999999999999,0.0012364263018878226
47,0.1717,0.007884161337770805,0.0867,0.0009239859306288141
