,parameters,mean_validation_score,cv_validation_scores
0,"{'max_depth': 3, 'min_child_weight': 1}",0.87504,[ 0.8705  0.8797  0.8782  0.8754  0.8714]
1,"{'max_depth': 3, 'min_child_weight': 3}",0.87456,[ 0.8706  0.879   0.8785  0.8744  0.8703]
2,"{'max_depth': 3, 'min_child_weight': 5}",0.87432,[ 0.8696  0.8793  0.8776  0.8739  0.8712]
3,"{'max_depth': 5, 'min_child_weight': 1}",0.8838,[ 0.8808  0.8877  0.8863  0.8829  0.8813]
4,"{'max_depth': 5, 'min_child_weight': 3}",0.88348,[ 0.8797  0.8875  0.8849  0.8828  0.8825]
5,"{'max_depth': 5, 'min_child_weight': 5}",0.88218,[ 0.878   0.8858  0.8852  0.8814  0.8805]
6,"{'max_depth': 7, 'min_child_weight': 1}",0.88758,[ 0.8864  0.8876  0.8897  0.8875  0.8867]
7,"{'max_depth': 7, 'min_child_weight': 3}",0.88662,[ 0.8854  0.8888  0.8878  0.8863  0.8848]
8,"{'max_depth': 7, 'min_child_weight': 5}",0.8855,[ 0.8841  0.8867  0.8872  0.8857  0.8838]
9,"{'max_depth': 9, 'min_child_weight': 1}",0.88784,[ 0.8881  0.8884  0.8906  0.8866  0.8855]
10,"{'max_depth': 9, 'min_child_weight': 3}",0.88508,[ 0.8857  0.8861  0.8865  0.8859  0.8812]
11,"{'max_depth': 9, 'min_child_weight': 5}",0.8837,[ 0.8832  0.885   0.8843  0.8838  0.8822]
12,"{'max_depth': 11, 'min_child_weight': 1}",0.88454,[ 0.8852  0.8869  0.8846  0.8848  0.8812]
