,parameters,mean_validation_score,cv_validation_scores
0,"{'max_depth': 3, 'min_child_weight': 1}",0.8553,[ 0.84403899  0.85903524  0.85728568  0.85471368  0.86143072]
1,"{'max_depth': 3, 'min_child_weight': 3}",0.85555,[ 0.84528868  0.85503624  0.85578605  0.85846462  0.86318159]
2,"{'max_depth': 3, 'min_child_weight': 5}",0.8539,[ 0.84328918  0.85778555  0.85753562  0.85471368  0.85617809]
3,"{'max_depth': 5, 'min_child_weight': 1}",0.8664,[ 0.85728568  0.86828293  0.86928268  0.86796699  0.86918459]
4,"{'max_depth': 5, 'min_child_weight': 3}",0.8649,[ 0.8567858   0.86778305  0.86578355  0.86371593  0.87043522]
5,"{'max_depth': 5, 'min_child_weight': 5}",0.86425,[ 0.85653587  0.87103224  0.86453387  0.8632158   0.86593297]
6,"{'max_depth': 7, 'min_child_weight': 1}",0.8684,[ 0.85853537  0.87403149  0.86553362  0.87096774  0.87293647]
7,"{'max_depth': 7, 'min_child_weight': 3}",0.8676,[ 0.85953512  0.8707823   0.86828293  0.86871718  0.87068534]
8,"{'max_depth': 7, 'min_child_weight': 5}",0.86755,[ 0.86053487  0.86853287  0.86778305  0.86821705  0.87268634]
9,"{'max_depth': 9, 'min_child_weight': 1}",0.86635,[ 0.85828543  0.86778305  0.86428393  0.86996749  0.87143572]
10,"{'max_depth': 9, 'min_child_weight': 3}",0.8653,[ 0.8587853   0.8687828   0.86178455  0.8712178   0.86593297]
11,"{'max_depth': 9, 'min_child_weight': 5}",0.8634,[ 0.85578605  0.86903274  0.85953512  0.86646662  0.86618309]
