,parameters,mean_validation_score,cv_validation_scores
0,{'max_depth': 10},0.9084564860426929,[ 0.90623159  0.90984074  0.91105705  0.90695023  0.90820283]
1,{'max_depth': 11},0.9089810253603358,[ 0.9066877   0.91020183  0.91196929  0.90696923  0.90907709]
2,{'max_depth': 12},0.9096842121267409,[ 0.90720082  0.91128511  0.91265346  0.90755839  0.90972328]
