,parameters,mean_validation_score,cv_validation_scores
0,"{'colsample_bytree': 0.7, 'subsample': 0.7}",0.8432,[ 0.84457771  0.84107946  0.8455      0.847       0.83783784]
1,"{'colsample_bytree': 0.7, 'subsample': 0.8}",0.8452,[ 0.84907546  0.84157921  0.848       0.8535      0.83383383]
2,"{'colsample_bytree': 0.7, 'subsample': 0.9}",0.8485,[ 0.84807596  0.85057471  0.8485      0.856       0.83933934]
3,"{'colsample_bytree': 0.7, 'subsample': 1.0}",0.8477,[ 0.84807596  0.85207396  0.846       0.853       0.83933934]
4,"{'colsample_bytree': 0.8, 'subsample': 0.7}",0.8441,[ 0.84157921  0.84107946  0.844       0.8575      0.83633634]
5,"{'colsample_bytree': 0.8, 'subsample': 0.8}",0.8471,[ 0.84807596  0.84307846  0.8475      0.8555      0.84134134]
6,"{'colsample_bytree': 0.8, 'subsample': 0.9}",0.8483,[ 0.84557721  0.85107446  0.847       0.8595      0.83833834]
7,"{'colsample_bytree': 0.8, 'subsample': 1.0}",0.8486,[ 0.85257371  0.84457771  0.851       0.858       0.83683684]
8,"{'colsample_bytree': 0.9, 'subsample': 0.7}",0.8471,[ 0.84857571  0.84157921  0.8495      0.8555      0.84034034]
9,"{'colsample_bytree': 0.9, 'subsample': 0.8}",0.8456,[ 0.84157921  0.84457771  0.842       0.8605      0.83933934]
10,"{'colsample_bytree': 0.9, 'subsample': 0.9}",0.8481,[ 0.84757621  0.85107446  0.8475      0.855       0.83933934]
11,"{'colsample_bytree': 0.9, 'subsample': 1.0}",0.8477,[ 0.84807596  0.84507746  0.8485      0.858       0.83883884]
12,"{'colsample_bytree': 1.0, 'subsample': 0.7}",0.8454,[ 0.84807596  0.84457771  0.8425      0.857       0.83483483]
13,"{'colsample_bytree': 1.0, 'subsample': 0.8}",0.8463,[ 0.84757621  0.84857571  0.8455      0.8535      0.83633634]
14,"{'colsample_bytree': 1.0, 'subsample': 0.9}",0.8466,[ 0.84907546  0.84557721  0.846       0.8555      0.83683684]
15,"{'colsample_bytree': 1.0, 'subsample': 1.0}",0.8465,[ 0.84607696  0.84657671  0.852       0.856       0.83183183]
