,parameters,mean_validation_score,cv_validation_scores
0,{'gamma': 0.0},0.8684,[ 0.85853537  0.87403149  0.86553362  0.87096774  0.87293647]
1,{'gamma': 0.1},0.86885,[ 0.86103474  0.87128218  0.86828293  0.87196799  0.87168584]
2,{'gamma': 0.2},0.86915,[ 0.86053487  0.87453137  0.86778305  0.86996749  0.87293647]
3,{'gamma': 0.3},0.8693,[ 0.86253437  0.87253187  0.86653337  0.87071768  0.87418709]
4,{'gamma': 0.4},0.8706,[ 0.8607848   0.87503124  0.86853287  0.87246812  0.87618809]
5,{'gamma': 0.5},0.8703,[ 0.86203449  0.87403149  0.86953262  0.87046762  0.87543772]
