accuracy,accuracy-train,model,call,features,train data,test data,time
0.8855696705,0.9428442194,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn fkp1lnz,data/features/penn/train.pkl,data/features/penn/heldout.pkl,2016-12-18 12:20:18
0.8855696705,0.9428442194,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn fkp5ln,data/features/penn/train.pkl,data/features/penn/heldout.pkl,2016-12-18 12:22:23
0.8692933704,0.9568927507,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn fkp1lnz,data/features/penn/train.pkl,data/features/penn/heldout.pkl,2016-12-18 12:29:42
0.8212584359,0.9505564678,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn fkp5ln,data/features/penn/train.pkl,data/features/penn/heldout.pkl,2016-12-18 12:32:11
0.8931123462,0.9438324819,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn ekg1lnz,data/features/penn/train.pkl,data/features/penn/heldout.pkl,2016-12-18 22:37:36
0.8892417626,0.9428860305,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn ekg5ln,data/features/penn/train.pkl,data/features/penn/heldout.pkl,2016-12-18 22:40:08
0.9012345679,0.9285030104,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn anad ap apah apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal ccb dhfe ekg1lnz,data/features/penn/train.pkl,data/features/penn/test.pkl,2017-03-15 18:48:19
0.9021516755,0.9608648057,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn anad ap apah apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal ccb dhfe ekg1lnz,data/features/penn/train.pkl,data/features/penn/test.pkl,2017-03-15 19:07:54
0.9018694885,0.9265378885,LogisticRegression,"LogisticRegression(penalty='l1', solver='liblinear', C=1)",ah ahf ahn anad ap apah apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal ccb dhfe ekg5ln,data/features/penn/train.pkl,data/features/penn/test.pkl,2017-03-15 19:48:09
0.9024338624,0.9600437876,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn anad ap apah apbh awah awan awbh awbn bhp bhps bof bpahal bpbhal bpof bpt br bwahal bwanal bwbhal bwbnal ccb dhfe ekg5ln,data/features/penn/train.pkl,data/features/penn/test.pkl,2017-03-15 20:08:09
0.8892417626,0.9428860305,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn ekg5ln,data/features/penn/train.pkl,data/features/penn/heldout.pkl,2017-03-15 21:18:02
0.8892417626,0.9428860305,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn ekg5ln,data/features/penn/train.pkl,data/features/penn/heldout.pkl,2017-03-15 21:21:47
0.8892417626,0.9429050356,LogisticRegression,"LogisticRegression(penalty='l2', solver='liblinear', C=1)",ah ahf ahn ahp anad ap apah apbh ar awah awan awbh awbn ekg5ln,train,heldout,2017-04-08 21:58:59
