    learning_rate =0.1,
    n_estimators=1000,
    max_depth=5,
    min_child_weight=1,
    gamma=0,
    subsample=0.8,
    colsample_bytree=0.8,
    objective='multi:softmax',
    nthread=24,
    scale_pos_weight=1,
    seed=27
[85]	train-merror:0.138267+0.000556077	test-merror:0.141802+0.000230957
[86]	train-merror:0.137828+0.000543938	test-merror:0.141486+0.000189848
[87]	train-merror:0.137329+0.000599466	test-merror:0.140943+0.000220269
[88]	train-merror:0.136869+0.000576971	test-merror:0.140506+0.000452344
[89]	train-merror:0.136498+0.00064922	test-merror:0.140194+0.000347362
[90]	train-merror:0.135962+0.00063041	test-merror:0.139704+0.000333752
[91]	train-merror:0.135658+0.000608469	test-merror:0.139419+0.00038188
[92]	train-merror:0.135282+0.000581987	test-merror:0.139092+0.000360492
[93]	train-merror:0.134993+0.000565792	test-merror:0.13862+0.00037231
[94]	train-merror:0.134615+0.000542825	test-merror:0.138324+0.000281918
[95]	train-merror:0.134304+0.000571846	test-merror:0.138005+0.000272065
[96]	train-merror:0.133912+0.000502009	test-merror:0.137666+0.000331189
[97]	train-merror:0.133541+0.000438066	test-merror:0.137427+0.000461821
[98]	train-merror:0.133218+0.000439745	test-merror:0.137112+0.000280429
[99]	train-merror:0.132952+0.000505846	test-merror:0.136876+0.000249761
[100]	train-merror:0.132606+0.000455116	test-merror:0.136504+0.000237492
[101]	train-merror:0.132189+0.000448002	test-merror:0.136215+0.00024521
[102]	train-merror:0.131884+0.000447185	test-merror:0.135968+0.000303857
[103]	train-merror:0.1316+0.000279161	test-merror:0.13577+0.000467858
[104]	train-merror:0.131226+0.000341654	test-merror:0.135447+0.000494778
[105]	train-merror:0.130936+0.000392206	test-merror:0.13518+0.00055187
[106]	train-merror:0.130663+0.000209175	test-merror:0.134998+0.000629757
[107]	train-merror:0.130371+0.00015075	test-merror:0.134698+0.000768443
[108]	train-merror:0.130003+0.000142925	test-merror:0.134474+0.000667961
[109]	train-merror:0.129764+0.000102503	test-merror:0.134181+0.000792675
